                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0474,                 1.6802,                 1.1828,                 0.9587,                0.89281,                0.97833,                0.70274,                 1.2351,                 1.8832,                 1.3337,              0.0010212,              0.0010212,              0.0010212
                     36,                  0.945,                 1.4389,                 1.1276,                0.92135,                    0.8,                0.91722,                0.63588,                 1.1789,                 1.9533,                 1.2427,              0.0010469,              0.0010469,              0.0010469
                     37,                0.85932,                 1.5348,                 1.1004,                0.92135,                    0.8,                0.91722,                0.63588,                 1.1789,                 1.9533,                 1.2427,              0.0010723,              0.0010723,              0.0010723
                     38,                0.93931,                 1.3892,                 1.0797,                0.68314,                    0.7,                0.79667,                0.57144,                 1.1644,                 2.1628,                 1.2478,              0.0010976,              0.0010976,              0.0010976
                     39,                 1.0188,                 1.5748,                 1.2268,                0.98204,                0.89362,                0.93346,                0.73654,                 1.0359,                 1.9155,                 1.1729,              0.0011226,              0.0011226,              0.0011226
                     40,                0.89918,                  1.426,                 1.1009,                0.98204,                0.89362,                0.93346,                0.73654,                 1.0359,                 1.9155,                 1.1729,              0.0011474,              0.0011474,              0.0011474
                     41,                 1.0024,                 1.5435,                 1.2032,                0.98707,                0.96626,                  0.995,                0.72523,                 1.1752,                 1.8465,                 1.2375,               0.001172,               0.001172,               0.001172
                     42,                0.95719,                 1.3822,                 1.1238,                0.92883,                 0.9797,                  0.995,                0.71456,                 1.2217,                 2.0387,                 1.5488,              0.0011964,              0.0011964,              0.0011964
                     43,                 1.0063,                 1.3949,                 1.2609,                0.92883,                 0.9797,                  0.995,                0.71456,                 1.2217,                 2.0387,                 1.5488,              0.0012206,              0.0012206,              0.0012206
                     44,                0.98777,                  1.381,                 1.1688,                0.93567,                0.87955,                 0.9575,                0.69986,                 1.1937,                 2.0734,                 1.5241,              0.0012445,              0.0012445,              0.0012445
                     45,                0.98445,                 1.4054,                  1.204,                0.93567,                0.87955,                 0.9575,                0.69986,                 1.1937,                 2.0734,                 1.5241,              0.0012682,              0.0012682,              0.0012682
                     46,                0.87707,                 1.2793,                 1.0428,                 0.9546,                    0.9,                0.95056,                0.56865,                 1.4441,                 2.2553,                 1.5407,              0.0012917,              0.0012917,              0.0012917
                     47,                0.99605,                  1.466,                 1.1836,                 0.9546,                    0.9,                0.95056,                0.56865,                 1.4441,                 2.2553,                 1.5407,               0.001315,               0.001315,               0.001315
                     48,                0.95184,                 1.5276,                  1.196,                0.78834,                      1,                0.96167,                0.48982,                 1.4694,                 2.2917,                 1.5756,               0.001338,               0.001338,               0.001338
                     49,                0.95919,                 1.3662,                 1.0947,                0.78834,                      1,                0.96167,                0.48982,                 1.4694,                 2.2917,                 1.5756,              0.0013609,              0.0013609,              0.0013609
                     50,                0.85117,                 1.4858,                 1.1189,                0.76175,                0.95245,                0.82917,                0.39117,                 1.5491,                 2.6782,                 1.6751,              0.0013835,              0.0013835,              0.0013835
                     51,                 1.0311,                 1.4056,                 1.2163,                0.76175,                0.95245,                0.82917,                0.39117,                 1.5491,                 2.6782,                 1.6751,              0.0013919,              0.0013919,              0.0013919
                     52,                0.87868,                 1.5038,                 1.1733,                0.58542,                0.78993,                0.77417,                0.32983,                 1.4742,                  3.262,                 1.8084,              0.0013919,              0.0013919,              0.0013919
                     53,                 1.0113,                 1.4311,                 1.2076,                0.58542,                0.78993,                0.77417,                0.32983,                 1.4742,                  3.262,                 1.8084,              0.0013864,              0.0013864,              0.0013864
                     54,                0.89277,                 1.3341,                 1.1105,                  0.735,                    0.5,                 0.6581,                0.28026,                 1.3512,                 3.8534,                 1.5455,              0.0013809,              0.0013809,              0.0013809
                     55,                0.90267,                 1.4445,                 1.1754,                  0.735,                    0.5,                 0.6581,                0.28026,                 1.3512,                 3.8534,                 1.5455,              0.0013754,              0.0013754,              0.0013754
                     56,                0.90538,                 1.3065,                 1.1878,                 0.7978,                    0.5,                0.59327,                0.26405,                 1.6052,                 4.5585,                 1.8505,              0.0013699,              0.0013699,              0.0013699
                     57,                0.77933,                 1.2085,                 1.0613,                 0.7978,                    0.5,                0.59327,                0.26405,                 1.6052,                 4.5585,                 1.8505,              0.0013644,              0.0013644,              0.0013644
                     58,                0.80747,                 1.1986,                 1.1216,                      1,                0.45818,                0.72833,                0.44752,                 1.4124,                 4.4625,                 2.1322,              0.0013589,              0.0013589,              0.0013589
                     59,                0.95307,                 1.3932,                 1.1853,                      1,                0.45818,                0.72833,                0.44752,                 1.4124,                 4.4625,                 2.1322,              0.0013534,              0.0013534,              0.0013534
                     60,                0.85979,                 1.2364,                 1.0947,                0.82055,                    0.5,                0.63667,                0.41601,                  1.603,                 3.5324,                 1.8212,              0.0013479,              0.0013479,              0.0013479
                     61,                 0.8189,                 1.1876,                  1.035,                0.82055,                    0.5,                0.63667,                0.41601,                  1.603,                 3.5324,                 1.8212,              0.0013424,              0.0013424,              0.0013424
                     62,                0.85318,                 1.2423,                 1.0851,                0.64421,                  0.635,                0.69167,                 0.5099,                 1.2051,                  3.021,                 1.3072,              0.0013369,              0.0013369,              0.0013369
                     63,                0.82347,                 1.3376,                 1.1266,                0.64421,                  0.635,                0.69167,                 0.5099,                 1.2051,                  3.021,                 1.3072,              0.0013314,              0.0013314,              0.0013314
                     64,                 1.1522,                 1.6165,                 1.3488,                0.64669,                0.68869,                 0.8431,                0.59855,                  1.025,                 2.6637,                 1.2336,              0.0013259,              0.0013259,              0.0013259
                     65,                0.89734,                 1.3043,                 1.1501,                0.64669,                0.68869,                 0.8431,                0.59855,                  1.025,                 2.6637,                 1.2336,              0.0013204,              0.0013204,              0.0013204
