                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9753,                  3.991,                 2.3411,                0.00319,                      1,                0.02452,                0.00682,                 1.9118,                 4.3122,                 2.3625,              1.667e-05,              1.667e-05,              1.667e-05
                      2,                 2.0942,                 3.8395,                 2.2203,                0.00318,                      1,                0.03834,                0.01037,                 1.7992,                 4.2332,                 2.2865,             3.3507e-05,             3.3507e-05,             3.3507e-05
                      3,                 1.8212,                 3.7037,                 2.0129,                0.00318,                      1,                0.05194,                0.01759,                 1.7118,                 4.2392,                 2.2437,             2.8339e-05,             2.8339e-05,             2.8339e-05
